search URL:,https://patents.google.com/?q=%28logistics+automation+inventory+management+distribution+system+freight+management+warehousing+supply+chain+or+transportation%29&page=1&oq=logistics+or+automation+or+inventory+management+or+distribution+system+or+freight+management+or+warehousing+or+supply+chain+or+transportation
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-201134030-Y,RFID control system in industrial production line ,"上海盛锐软件技术有限公司, 赵华国",赵华国,2007-12-07,2007-12-07,2008-10-15,2008-10-15,https://patents.google.com/patent/CN201134030Y/en,https://patentimages.storage.googleapis.com/04/80/36/18ef935f85cf92/Y20072019898300201.png
CN-110866713-A,Logistics system based on LoRa technology and logistics supervision method ,上海优链供应链管理有限公司,"缠亮鑫, 詹敏瑟",2019-09-25,2019-09-25,2020-03-06,,https://patents.google.com/patent/CN110866713A/en,https://patentimages.storage.googleapis.com/18/70/34/c50ecf793cb819/HDA0002214412900000011.png
CN-100555305-C,Utilize the wideband electronic logistic system and the method thereof of RF-ID label ,Cjgls株式会社,"尹熙植, 闵丙圭",2004-09-20,2005-09-20,2009-10-28,2009-10-28,https://patents.google.com/patent/CN100555305C/en,https://patentimages.storage.googleapis.com/4e/4c/55/45092257b2b8ee/C20051010336100171.png
CN-103593749-A,Logistics management system based on RFID ,台州学院,"雷必成, 陈荣钦, 王均晖, 袁国堂, 朱优优, 梅武军",2013-11-26,2013-11-26,2014-02-19,,https://patents.google.com/patent/CN103593749A/en,https://patentimages.storage.googleapis.com/d1/1a/1f/44439bc499d576/HDA0000422574500000011.png
US-11875291-B2,Direct to store supply chain system and method ,"Niagara Bottling, Llc","Brian Dwain Reed, Canaan Orion Reich, Alyssa Anne Correale",2014-09-19,2022-10-03,2024-01-16,2024-01-16,https://patents.google.com/patent/US11875291B2/en,https://patentimages.storage.googleapis.com/c1/09/92/d23d11e2c80c20/US11875291-20240116-D00000.png
US-7978060-B2,Identification system ,"Inteligistics, Inc.","Panduranga Rao Mandava, Alexander McCredie",2005-02-14,2006-02-13,2011-07-12,2011-07-12,https://patents.google.com/patent/US7978060B2/en,https://patentimages.storage.googleapis.com/5e/de/9a/ebfcd1561703ae/US07978060-20110712-D00000.png
CN-103593751-A,Radiofrequency identification (RFID) based intelligent logistics managing system ,中国建筑第八工程局有限公司,"王静, 马荣全, 王桂玲, 苗冬梅",2013-11-29,2013-11-29,2014-02-19,,https://patents.google.com/patent/CN103593751A/en,https://patentimages.storage.googleapis.com/81/e0/ea/16efc875dd8c64/HDA0000426812620000011.png
WO-2016033673-A1,Logistics system and method for modular loads applying intermodality or multimodality ,Lf Transportes Ltda,"Adriana Lucia PANSERA BOGONI, Flávio ZAN, Juliano ZAN, Ladair ZAN, Silvana BORGES ZAN, Paulo Renato MENZEL",2014-09-05,2015-09-05,2016-03-10,,https://patents.google.com/patent/WO2016033673A1/en,
KR-20090101696-A,Integrated allocation of vehicles management system ,글로비스 주식회사,구형준,2008-03-24,2008-03-24,2009-09-29,,https://patents.google.com/patent/KR20090101696A/en,
CN-101715583-A,Refrigerated shipping containers is related with despatch order ,斯塔尔特拉克系统有限公司,"托马斯·A·鲁宾逊, 温卡特斯瓦兰·卡鲁潘南, 蒂莫西·P·斯利夫金",2007-01-09,2008-01-09,2010-05-26,,https://patents.google.com/patent/CN101715583A/en,https://patentimages.storage.googleapis.com/a1/34/4b/2f69e32315a78f/H2008800075157E00011.png
CN-107918843-A,Logistics supply chain management system ,宁波爱折腾供应链管理有限公司,江素琴,2016-10-10,2016-10-10,2018-04-17,,https://patents.google.com/patent/CN107918843A/en,
CN-102314165-A,PLM (programmable logic matrix)-based RFID (radio frequency identification device) control system for industrial production line and method ,上海盛锐软件技术有限公司,"赵华国, 文静, 高承才, 马东峰",2010-07-05,2010-07-05,2012-01-11,,https://patents.google.com/patent/CN102314165A/en,https://patentimages.storage.googleapis.com/d6/ad/ab/4ee66c3a8d4cb0/HSA00000174503100011.png
US-8010420-B2,Automated receiving system ,"Target Brands, Inc.","James A. Dewey, Jr., David L. Carruth, John Andrew Rhodes, Stacey Holland",2004-05-28,2009-09-11,2011-08-30,2011-08-30,https://patents.google.com/patent/US8010420B2/en,https://patentimages.storage.googleapis.com/70/3e/5c/10257cea7189ad/US08010420-20110830-D00000.png
US-9436853-B1,Methods and apparatus for combining temperature data from separate segments of handling ,"Globaltrak, Llc",Richard C. Meyers,2011-03-01,2012-02-28,2016-09-06,2016-09-06,https://patents.google.com/patent/US9436853B1/en,https://patentimages.storage.googleapis.com/07/1a/18/f03295c82b1413/US09436853-20160906-D00000.png
CN-105139171-A,Internet-of-things based agricultural product cold chain logistics management system ,苏州田园优贡电子商务有限公司,张晨,2015-08-10,2015-08-10,2015-12-09,,https://patents.google.com/patent/CN105139171A/en,
BR-112019014552-A2,AUTOMATED INVENTORY AND MATERIAL DELIVERY SYSTEM FOR UNDERGROUND MINES AND CONTAINER TO DELIVER CONSUMABLE MATERIAL ORDERED IN A MINE ,Admmit Inc.,Boudreau Marc,2017-01-17,2018-01-17,2020-02-18,,https://patents.google.com/patent/BR112019014552A2/en,
KR-20220024247-A,A System for Managing a Component Carriage Based on ERP ,김재봉,김재봉,2021-02-22,2022-02-03,2022-03-03,,https://patents.google.com/patent/KR20220024247A/en,https://patentimages.storage.googleapis.com/a5/41/35/92df39020fbd3a/pat00001.png
US-10380534-B2,Autonomous supply and distribution chain ,"Route4Me, Inc.",Dan Khasis,2016-03-11,2017-12-20,2019-08-13,2019-08-13,https://patents.google.com/patent/US10380534B2/en,https://patentimages.storage.googleapis.com/20/41/4c/0e8dd2cfe6904f/US10380534-20190813-D00000.png
US-8019740-B2,Communications in an item tracking system ,Sap Aktiengesellshaft,"Jie Weng, Tao Lin",2002-02-01,2007-06-18,2011-09-13,2011-09-13,https://patents.google.com/patent/US8019740B2/en,https://patentimages.storage.googleapis.com/f7/3a/01/6bc0ad1e316d38/US08019740-20110913-D00000.png
CN-111033539-B,Robot inventory update for order-prescribed routes ,谷歌有限责任公司,"C.汉斯, T.维列文",2017-08-28,2018-08-24,2023-09-29,2023-09-29,https://patents.google.com/patent/CN111033539B/en,
CN-104680346-A,Cycle logistics packaging operation management method based on RFID (Radio Frequency Identification Devices) electronic tag ,中包精力托盘共用系统有限公司,"余渡元, 汤红梅",2015-01-21,2015-01-21,2015-06-03,,https://patents.google.com/patent/CN104680346A/en,
CN-102999828-B,For data processing method and the device of relief goods monitoring ,"郑静晨, 郝昱文, 李晓雪","郑静晨, 郝昱文, 李晓雪",2012-11-15,2012-11-15,2015-11-18,2015-11-18,https://patents.google.com/patent/CN102999828B/en,
CN-111784227-A,WMS management system ,苏州谦德益科技研发有限公司,高益群,2020-05-12,2020-05-12,2020-10-16,,https://patents.google.com/patent/CN111784227A/en,https://patentimages.storage.googleapis.com/9d/ca/04/0fe5155914c9eb/200512144333.png
CN-101470871-B,Controlling a production process ,西门子公司,P·方塔诺特,2007-10-18,2008-10-17,2012-09-05,2012-09-05,https://patents.google.com/patent/CN101470871B/en,https://patentimages.storage.googleapis.com/d4/8c/1b/86bed16cc8fb56/H2008101778537E00011.png
KR-20210087636-A,Supply Chain Management System ,주식회사 서버벨,손문경,2020-01-03,2020-01-03,2021-07-13,,https://patents.google.com/patent/KR20210087636A/en,
